source,subject,activity,distanceKm,durationMin,hrAvg,hrMax,stress,steps,paceStepsPerMin,distanceVsHistory,stepsVsHistory,stressVsHistory,hrVsHistory,historyCount,daysSincePrevious,nextHrAvg
UCI_PAMAP2_RAW,subject101,lying,0.0,0.9998333333333335,98.721,107.0,23.988400000000002,0,0.0,0.0,0.0,0.0,0.0,0,0,88.23825
UCI_PAMAP2_RAW,subject101,lying,0.0,0.9998333333333335,88.23825,91.0,15.795299999999997,0,0.0,0.0,0.0,-8.193100000000005,-10.48275000000001,1,0,83.49975
UCI_PAMAP2_RAW,subject101,lying,0.0,0.9998333333333335,83.49975,91.0,13.899900000000002,0,0.0,0.0,0.0,-5.991949999999996,-9.979874999999993,2,0,82.47125
UCI_PAMAP2_RAW,subject101,sitting,0.0,0.9998333333333335,94.68283333333333,109.0,22.873133333333335,0,0.0,0.0,0.0,6.205108333333335,6.4502708333333345,4,0,87.53716666666666
UCI_PAMAP2_RAW,subject101,sitting,0.0,0.9998333333333335,87.53716666666666,93.0,16.014866666666666,0,0.0,0.0,0.0,-1.8941799999999986,-1.9854500000000002,5,0,90.08410606060606
UCI_PAMAP2_RAW,subject101,sitting,0.0,0.9998333333333335,90.08410606060606,98.0,18.283642424242426,0,0.0,0.0,0.0,0.6902924242424291,0.8923977272727228,6,0,92.5495189117452
UCI_PAMAP2_RAW,subject101,standing,0.0,0.9998333333333335,106.54816666666666,112.0,28.369266666666665,0,0.0,0.0,0.0,10.5738229180491,16.825182295122758,8,0,103.47266666666667
UCI_PAMAP2_RAW,subject101,standing,0.0,0.9998333333333335,103.47266666666667,112.0,27.13906666666667,0,0.0,0.0,0.0,8.168753704932534,11.880217595664675,9,0,101.17975
UCI_PAMAP2_RAW,subject101,ironing,0.0,0.9998333333333335,100.57316666666667,106.0,24.479266666666668,0,0.0,0.0,0.0,4.288922728278134,7.029125002513524,11,0,96.01858333333334
UCI_PAMAP2_RAW,subject101,ironing,0.0,0.9998333333333335,96.01858333333334,98.0,20.657433333333337,0,0.0,0.0,0.0,0.10967916758829332,1.888781252304085,12,0,99.57675
UCI_PAMAP2_RAW,subject101,ironing,0.0,0.9998333333333335,99.57675,102.0,23.080700000000004,0,0.0,0.0,0.0,2.524508975209706,5.301657053408903,13,0,102.08154336559673
UCI_PAMAP2_RAW,subject101,vacuum_cleaning,0.0468,0.9998333333333335,117.89417647058823,130.0,37.4076705882353,117,117.0,0.46799999999999997,2.34,16.40200544562858,22.74520969250284,15,0,135.65541666666667
UCI_PAMAP2_RAW,subject101,vacuum_cleaning,0.0492,0.9998333333333335,135.65541666666667,140.0,47.012166666666666,123,123.0,0.46275,2.31375,24.981376183708157,39.08487428279983,16,0,134.55516666666668
UCI_PAMAP2_RAW,subject101,vacuum_cleaning,0.05,0.9998333333333335,134.55516666666668,140.0,46.57206666666667,125,125.0,0.44352941176470584,2.217647058823529,23.07178346701945,35.685514030870436,17,0,133.43020980908048
UCI_PAMAP2_RAW,subject101,walking,0.09075,0.9998333333333372,119.42166666666667,123.0,36.26866666666666,121,121.0,0.7003043478260869,1.68,5.760050537657641,10.533225235874696,23,0,119.4675
UCI_PAMAP2_RAW,subject101,walking,0.10575,0.9998333333333372,119.4675,123.0,36.287,141,141.0,0.8211249999999999,2.01,5.538381765255242,10.140174184379916,24,0,119.20225
UCI_PAMAP2_RAW,subject101,nordic_walking,0.0885,0.9998333333333297,128.81864102564103,145.0,45.52745641025641,118,118.0,0.5857499999999999,1.396153846153846,14.366504962799713,18.721503734299418,26,0,145.67083333333332
UCI_PAMAP2_RAW,subject101,nordic_walking,0.108,0.9998333333333297,145.67083333333332,147.0,52.76833333333333,144,144.0,0.7590555555555556,1.8358862144420132,21.075289109476643,34.88030701479542,27,0,144.42616666666666
